colour,country,date,price,size,stars,text,title
Purple,Germany 🇩🇪,20/10/2022,949.00,128GB,5.0,"Ich bin von meinem I Phone 12 umgestiegen. Die Geschwindigkeit macht sich bemerkbar und auch der Akku ist sehr gut. Allerdings würde ich nicht von einem I Phone 13 umsteigen, da dann der Unterscheid den Aufpreis nicht Wert ist.Trotzdem ein tolles Handy.",Apple iPhone 14 Plus
"",Germany 🇩🇪,02/11/2022,949.00,"",5.0,Ich bin sehr zufrieden,Apple iPhone 14 Plus
Purple,France 🇫🇷,04/11/2022,949.00,128GB,5.0,Au top!!,Apple iPhone 14 Plus
Purple,France 🇫🇷,21/10/2022,949.00,128GB,5.0,"Jamais déçu par Apple , il est magnifique !!! Plus de 15 ans chez Apple et toujours ravi !",Apple iPhone 14 Plus
Blue,France 🇫🇷,26/10/2022,949.00,128GB,5.0,Iphone au top livraison au top,Apple iPhone 14 Plus
Blue,Germany 🇩🇪,17/10/2022,949.00,256GB,5.0,gute handy.,Apple iPhone 14 Plus
