colour,country,date,price,size,stars,text,title
Purple,the United Kingdom 🇬🇧,26/10/2022,949.00,256GB,5.0,such a great quality phone love it!!!!,Apple iPhone 14 Plus
Blue,the United Kingdom 🇬🇧,12/10/2022,949.00,128GB,5.0,I’ve updated from an iPhone 11 to the 14 plus huge phone so many features first day I had it was in danger of getting rsi !! Inside the battery symbol there is a number telling you how much battery is left ! Great camera features,Apple iPhone 14 Plus
"",the United Kingdom 🇬🇧,31/10/2022,949.00,"",3.0,There is a wire in the box but no plug to charge the phone,Apple iPhone 14 Plus
