colour,country,date,price,size,stars,text,title
Midnight,France 🇫🇷,17/11/2022,949.00,128GB,5.0,C'est mon premier utilisation dun iphone. Je trouve très bien. Plein d'astuces.,Apple iPhone 14 Plus
Blue,France 🇫🇷,15/11/2022,949.00,128GB,5.0,Très satisfaite,Apple iPhone 14 Plus
"",Germany 🇩🇪,01/11/2022,949.00,"",5.0,"Ich glaube zum Gerät selbst muss man ja nichts schreiben , der Versand war blitzschnell ,Freitag bestellt , Samstag wurde geliefert Top",Apple iPhone 14 Plus
