colour,country,date,price,size,stars,text,title
Purple,the United Kingdom 🇬🇧,24/11/2022,949.00,256GB,5.0,Upgraded from an 8 plus. Need I say more. Love it.,Apple iPhone 14 Plus
Purple,the United Kingdom 🇬🇧,05/12/2022,949.00,128GB,5.0,Love it!,Apple iPhone 14 Plus
Blue,Germany 🇩🇪,25/11/2022,949.00,128GB,5.0,"Wie immer bei Apple, ein top gerät. Die preispolitik bezüglich des speichers ist zwar fragwürdig mit ca 400€ differenz zwischen 128GB und 1TB. Aber mir persönlich reichen 128GB in dem fall. Es ist kein schnäpchen und die arbeitsumstände sollen ja auch nicht die besten sein, doch das müssen die verantwortlichen in den griff bekommen.Im vergleich zu android läuft beim iphone alles flüssig und das gefällt mir.Wer auf ein paar spielereien wie die kameranotch und die kamera pro funktionen verzichten kann aber trotzdem die größe des pro max möchte macht hier nichts falsch. Wenns vom geld her geht. In schulden sollte sich keiner wegen einem smartphone stürzen nur um mithalten zu können. Auch sollte man vielleicht vorher das smartphone mal in der hand haben und das normale mit dem plus vergleichen. Das normale liegt top in der hand, das plus erfordert schon öfters mal beide hände. Somit könnte man sich eventuell paar hundert euro sparen und das normale mit 6,1 zoll nehmen. Es ist auf jedenfall ein unterschied der sich auch in der hosentasche bemerkbar macht.",Apple iPhone 14 Plus
Midnight,France 🇫🇷,07/12/2022,949.00,128GB,5.0,"Parfait, livré en 2 jours ouvrés avec primeConforme à la description, très fiable Amazon.Reçu en point relais, parfaitEnvoi et réception très rapide",Apple iPhone 14 Plus
Blue,France 🇫🇷,01/12/2022,949.00,128GB,5.0,J’avais un iPhone XR en parfait état de fonctionnement et franchement il est aussi bien que le 14 plus. J’en viens à me demander pourquoi je l’ai acheté ☹️,Apple iPhone 14 Plus
Purple,France 🇫🇷,26/11/2022,949.00,256GB,5.0,"Ravie de mon achat, on ne s’attend  pas à moins de la part d’Apple !Tellement facile à l’utilisation, à la mise en route avec la synchronisation. Que du bonheur 💜",Apple iPhone 14 Plus
(PRODUCT)RED,Germany 🇩🇪,19/11/2022,949.00,128GB,5.0,"Habe mich bewusst für das größere iPhone 14 Plus entschieden. Sehr komfortabel, wenn man nicht noch extra ein I-Pad nutzen will. Aber auch nicht zu groß. Kamera ist eine Wucht!",Apple iPhone 14 Plus
Midnight,France 🇫🇷,29/11/2022,949.00,128GB,5.0,Super produit !Qualité au top!Fonctionnalité parfait!,Apple iPhone 14 Plus
Purple,France 🇫🇷,18/11/2022,949.00,128GB,5.0,"Utilisatrice Apple depuis longtemps, j'ai mis longtemps à passer le pas entre mon iphone XR et le nouveau. Franchement pas déçue. Idéal pour ceux qui aiment les gros smartphone.",Apple iPhone 14 Plus
"",France 🇫🇷,02/12/2022,949.00,"",5.0,Expédition rapide,Apple iPhone 14 Plus
Midnight,France,17/11/2022,949.00,128GB,5.0,Apple est Apple  super qualité,Apple iPhone 14 Plus
Midnight,France,17/11/2022,949.00,128GB,5.0,C'est mon premier utilisation dun iphone. Je trouve très bien. Plein d'astuces.,Apple iPhone 14 Plus
Blue,France,15/11/2022,949.00,128GB,5.0,Très satisfaite,Apple iPhone 14 Plus
"",Germany,01/11/2022,949.00,"",5.0,"Ich glaube zum Gerät selbst muss man ja nichts schreiben , der Versand war blitzschnell ,Freitag bestellt , Samstag wurde geliefert Top",Apple iPhone 14 Plus
Purple,Germany,20/10/2022,949.00,128GB,5.0,"Ich bin von meinem I Phone 12 umgestiegen. Die Geschwindigkeit macht sich bemerkbar und auch der Akku ist sehr gut. Allerdings würde ich nicht von einem I Phone 13 umsteigen, da dann der Unterscheid den Aufpreis nicht Wert ist.Trotzdem ein tolles Handy.",Apple iPhone 14 Plus
"",Germany,02/11/2022,949.00,"",5.0,Ich bin sehr zufrieden,Apple iPhone 14 Plus
Purple,France,04/11/2022,949.00,128GB,5.0,Au top!!,Apple iPhone 14 Plus
Blue,France,26/10/2022,949.00,128GB,5.0,Iphone au top livraison au top,Apple iPhone 14 Plus
Purple,France,21/10/2022,949.00,128GB,5.0,"Jamais déçu par Apple , il est magnifique !!! Plus de 15 ans chez Apple et toujours ravi !",Apple iPhone 14 Plus
Starlight,France,12/10/2022,949.00,256GB,5.0,Téléphone parfait. Ça me change poir une fois que j’ai un téléphone neuf et acheté comme ça. C’est un vrai bonheur. Taille parfaite ça me change 😍,Apple iPhone 14 Plus
